site,potential_evaporation,skin_temperature,soil_temperature_level_1,evaporation_from_vegetation_transpiration,lat,lon,P,Q,P-Q,Q/P,(P-Q)/P,empty
3281100,-1.260077682477536,1.586215435589369,1.586215435589369,-2.090246508580383,37.152029999999996,-83.7602,-1.1219131319448277,-1.5763589575427326,-0.6390644422470537,-1.9171933267411612,-1.2639274524441728,
3281500,-1.0525354759518242,1.5269176622963083,1.6455132088824294,-1.7641087554685504,37.47981,-83.67519,0.2272203669267508,-0.14201272932921924,0.9088814677070032,-0.7100636466460962,-0.19881782106090687,
3285000,-1.2897265691240662,1.615864322235899,1.615864322235899,-1.8530554154081411,37.64202,-84.66078,0.25562291279259464,-0.25562291279259464,0.8236738301094716,-1.0508941970362224,0.1136101834633754,
3291780,-1.586215435589369,1.5269176622963083,1.823406528761611,-1.8530554154081411,38.87811,-85.25718,2.1302148074901788,0.482848689697774,3.5219551483837632,-0.42604296149803583,0.42604296149803583,
3300400,-1.5269176622963083,1.7937576421150807,1.8827043020546714,-2.1198953952269135,37.832840000000004,-85.29607,1.7893804382917504,1.4485460690933218,0.7952801947963336,1.1929202921945004,-1.9597976228909648,
3338780,-1.942002075347732,2.0012998486407927,1.586215435589369,-1.7641087554685504,40.26531,-87.6428,0.7523986105718488,0.25016291953504993,0.7087949386826414,0.29185673945755825,0.7087949386826414,
3340800,-1.823406528761611,1.9716509619942622,2.0309487352873226,-2.623926468217928,39.81255,-86.9539,1.6189632536925362,1.4485460690933218,1.1077116998948933,1.1077116998948933,-1.1077116998948933,
3346000,-2.416384261692216,1.8827043020546714,2.2681398284595646,-2.86111756139017,39.010040000000004,-87.94559,1.5905603895926672,0.8804887870959407,2.045006215190572,0.6816687383968574,-0.6816687383968574,
3357350,-1.823406528761611,1.7937576421150807,2.0309487352873226,-2.623926468217928,39.76171,-86.72945,1.7325747100920124,1.5621575254927982,1.7893804382917504,1.4769489331931909,-1.4769489331931909,
3364500,-1.6455132088824294,1.615864322235899,1.7641087554685504,-1.70481098217549,39.274770000000004,-85.70165,1.7893603895481625,1.306517109828817,0.5112458255851893,1.0224916511703783,-1.9597756647432256,
3366500,-1.5565665489428386,1.497268775649778,1.823406528761611,-1.823406528761611,38.80422,-85.67385999999999,2.5846606330880837,0.9372945152956788,3.720775197082846,-0.42604296149803583,0.42604296149803583,
3368000,-1.6455132088824294,1.615864322235899,1.7641087554685504,-1.70481098217549,39.07033,-85.48608,2.10181194339031,0.7384744665965954,2.045006215190572,0.028402864099869057,-0.028402864099869057,
3384450,-2.534979808278337,2.090246508580383,2.0012998486407927,-3.009361994622821,37.47227,-88.54727,0.482848689697774,0.2272229127989525,0.7384744665965954,0.0,0.0,
3439000,-2.060597621933853,1.942002075347732,2.149544281873444,-2.2088420551665044,35.14333,-82.82472,-1.3065317485939765,-0.11361145639947624,-2.6982720894875603,1.6757689818922743,-1.6757689818922743,
3450000,-1.9123531887012017,1.9716509619942622,2.149544281873444,-2.2088420551665044,35.653059999999996,-82.40528,2.7550778176872983,1.9597976228909648,2.1302148074901788,1.6189632536925362,2.1870205356899173,
3455500,-2.060597621933853,1.8827043020546714,2.149544281873444,-2.179193168519974,35.39611,-82.9375,-1.931394758791096,-0.11361145639947624,-3.1527179150854647,2.3858405843890007,-2.3858405843890007,
3456500,-1.9123531887012017,1.9716509619942622,2.149544281873444,-2.2088420551665044,35.46167,-82.86972,-0.965697379395548,0.3408343691984287,-1.704171845992143,1.5053517972930601,-1.5053517972930601,
3460000,-2.2088420551665044,1.942002075347732,2.0012998486407927,-2.3274376017526253,35.6675,-83.07361,0.0,0.6532658742969882,-2.2154233997897865,0.9372945152956788,-0.9372945152956788,
