site,potential_evaporation,skin_temperature,soil_temperature_level_1,evaporation_from_vegetation_transpiration,lat,lon,P,Q,P-Q,Q/P,(P-Q)/P,tree_canopy_cover,impervious
1466500,-1.1414821358914151,1.853055415408141,1.8827043020546717,-1.3193754557705966,39.885,-74.50528,2.045006215190572,0.6816687383968574,1.931394758791096,-0.3976400973981668,0.3976400973981668,0.0,0.0
1484100,-0.6670999495469309,1.5269176622963083,1.5565665489428386,-0.7263977228399914,38.90578,-75.51275,1.50535179729306,1.4201432049934528,0.511251553797643,1.4485460690933218,-1.4485460690933218,0.0,0.0
1485500,-0.6670999495469309,1.5269176622963083,1.5565665489428386,-0.7263977228399914,38.22892,-75.47144,0.6532658742969882,0.3124315050985596,0.1988200486990834,0.7952801947963336,-0.7952801947963336,-1.257815324858012,0.3158411484165245
1486000,-0.6670999495469309,1.5269176622963083,1.5565665489428386,-0.7263977228399914,38.21389,-75.67139,1.1361145639947623,0.7100716024967264,0.8520859229960717,1.1077116998948933,-1.1077116998948933,0.0,31.253053471632697
1487000,-0.6670999495469309,1.5269176622963083,1.5565665489428386,-0.7263977228399914,38.72833,-75.56186,1.3633374767937148,1.2781288844941074,-0.2556257768988215,1.533754661392929,-1.533754661392929,-0.8546388224001213,0.35590680125829127
1491000,-1.1414821358914151,1.823406528761611,1.6751620955289597,-1.9123531887012015,38.99719,-75.78581,1.6757689818922743,2.073409079290441,-1.050905971695155,2.243826263889656,-2.243826263889656,-1.1750008190215808,0.08904403315716182
1510000,-1.3490243424171269,1.9716509619942624,1.942002075347732,-1.5565665489428386,42.54118,-75.89964,1.6473661177924053,2.4142434484888704,-1.5621575254927982,2.471049176688608,-3.2379265073850725,-0.03943257982708655,0.008104989312630193
1516500,-1.467619889003248,1.942002075347732,2.090246508580383,-1.6158643222358993,41.79091,-77.01469,1.533754661392929,0.7668773306964645,2.471049176688608,-0.1988200486990834,0.1988200486990834,0.0,0.1194411072225668
1518862,-1.3490243424171269,1.9716509619942624,2.179193168519974,-0.9635888160122336,41.92313,-77.53193,0.3967446354651501,0.940554281390093,-0.940554281390093,0.940554281390093,-0.940554281390093,0.10201102402681238,0.0666088770083984
1532000,-1.3490243424171269,2.0309487352873226,1.7937576421150807,-1.8827043020546717,41.70702,-76.48467,2.1870205356899173,1.0793088357950242,3.1243150509855964,-0.05680572819973812,0.05680572819973812,0.09150877730324276,0.002381142805198274
